Categoría,Subcategoría,Nombre,Marca,Precio,Imagen (URL),Enlace,Es flexible
Despensa,Sin subcategoría,Ajo molido Siba 100 g,SIBARITA,S/ 6,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41470812_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113710011/ajos-en-pasta-sibax100gr/113710012?exp=tottus,No
Despensa,Sin subcategoría,Mezcla lista para empanizar picante Ajinomoto 80 g,AJINOMIX,S/ 2.70,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41952800_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113781785/mezcla-p-apanar-picant-ajinomix-80g/113781786?exp=tottus,No
Despensa,Sin subcategoría,Sillao 500 mL,TOTTUS,S/ 3.90,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43268358_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/128847823/sillao-tottus-500ml/128847824?exp=tottus,No
Despensa,Sin subcategoría,Chocolate Pack 36 Und Barra 43 g,HERSHEYS,S/ 151.20,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43472703_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/139892202/hersheys-milk-choc-disp-x-36u-x-43g/139892203?exp=tottus,Sí
Despensa,Sin subcategoría,Arroz Superior Costeño 5 kg,COSTENO,S/ 23.90,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/20117070_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113709634/arroz-superior-costeno-5-kg/113709635?exp=tottus,No
Despensa,Sin subcategoría,Harina de Quinua 250 g,MOLICUSCO,S/ 10.49,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40547108_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/114412813/molicusco-harina-de-quinua-x-250gr/114412814?exp=tottus,No
Despensa,Sin subcategoría,Ketchup 220 g,TOTTUS,S/ 3.70,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40845624_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113755002/ketchup-tottus-x220gr/113755004?exp=tottus,No
Despensa,Sin subcategoría,Fideo Linguini 500 g,TOTTUS,S/ 3,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42187958_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/115939307/pasta-linguini-tottus-x500gr/115939308?exp=tottus,No
Despensa,Sin subcategoría,Frijol Castilla,TOTTUS,S/ 5.30,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42276929_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113706832/frijol-castilla-tottus-x-500-gr/113706833?exp=tottus,No
Despensa,Sin subcategoría,Quinua de 1 kg,TOTTUS,S/ 17.80,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113706474/tottus-quinua-tottus-x-1kg/113706475?exp=tottus,No aplica
Despensa,Sin subcategoría,Pimienta Negra Molida Cuatro Estaciones 60 g,Sin marca,S/ 7.50,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113710169/pimienta-negra-molida-x-60-grs/113710171?exp=tottus,No aplica
Despensa,Sin subcategoría,Burbujitas Cereal Choco 2 Cerros 125 g,2 CERRITOS,S/ 10.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113716047/burbujiutas-cereal-choco-x-125g/113716048?exp=tottus,No aplica
